i,bplus_s,brute_s
1,1.3093998859403655e-05,2.6950001483783126e-06
2,2.91600008495152e-06,1.503000021330081e-06
3,1.9740000425372273e-06,1.481999788666144e-06
4,4.759000148624182e-06,1.071999577106908e-06
5,2.8150006983196363e-06,1.5129990060813725e-06
6,4.66900019091554e-06,1.1320007615722716e-06
7,2.2839994926471263e-06,1.2420005077729002e-06
8,3.8569996831938624e-06,1.4020006346981972e-06
9,2.354001480853185e-06,1.5529985830653459e-06
10,2.4649998522363603e-06,1.2629989214474335e-06
11,2.0739989849971607e-06,1.1619995348155499e-06
12,6.451999070122838e-06,1.1920001270482317e-06
13,4.027000613859855e-06,1.4319994079414755e-06
14,2.5049994292203337e-06,1.3220014807302505e-06
15,5.97200050833635e-06,1.2119999155402184e-06
16,2.484999640728347e-06,1.402999259880744e-06
17,2.2140011424198747e-06,2.053999196505174e-06
18,3.646999175543897e-06,1.3429998944047838e-06
19,2.1949999791104347e-06,1.4830002328380942e-06
20,2.3649990907870233e-06,1.3319986464921385e-06
21,3.1859999580774456e-06,1.422000423190184e-06
22,3.5369994293432683e-06,1.8430000636726618e-06
23,5.640999006573111e-06,1.6129997675307095e-06
24,2.5440003810217604e-06,1.6829999367473647e-06
25,3.6170004023006186e-06,2.3640004656044766e-06
26,2.0240004232618958e-06,1.81299947143998e-06
27,2.5650006136856973e-06,1.6729991330066696e-06
28,2.3640004656044766e-06,1.7029997252393514e-06
29,2.4139990273397416e-06,1.7029997252393514e-06
30,2.0540010154945776e-06,1.6930007404880598e-06
31,2.1340001694625244e-06,1.5830009942874312e-06
32,7.373999324045144e-06,1.6929989214986563e-06
33,3.5969987948192284e-06,1.9730014173546806e-06
34,2.5949993869289756e-06,1.6430003597633913e-06
35,3.6059991543879732e-06,1.6929989214986563e-06
36,5.8610003179637715e-06,1.622998752282001e-06
37,2.554999809945002e-06,1.7029997252393514e-06
38,2.3240008886205032e-06,1.7729998944560066e-06
39,3.50600021192804e-06,1.6230005712714046e-06
40,3.8569996831938624e-06,1.6430003597633913e-06
41,2.4750006559770554e-06,2.0139996195212007e-06
42,2.414000846329145e-06,1.8040009308606386e-06
43,2.1340001694625244e-06,1.8539994925959036e-06
44,2.354001480853185e-06,1.7029997252393514e-06
45,2.484999640728347e-06,2.0139996195212007e-06
46,2.2340009309118614e-06,1.8640002963365987e-06
47,3.828001354122534e-06,1.81299947143998e-06
48,5.4299998737405986e-06,1.963999238796532e-06
49,2.5050012482097372e-06,1.844000507844612e-06
50,3.677001586765982e-06,2.014001438510604e-06
51,2.2839994926471263e-06,1.934000465553254e-06
52,2.3749998945277184e-06,2.0440002117538825e-06
53,9.73799978964962e-06,3.065999408136122e-06
54,2.745000529102981e-06,7.743999958620407e-06
55,2.2340009309118614e-06,2.1140003809705377e-06
56,2.3150005290517583e-06,2.1039995772298425e-06
57,3.827000909950584e-06,1.983999027288519e-06
58,2.3640004656044766e-06,1.903999873320572e-06
59,3.58600118488539e-06,1.934000465553254e-06
60,2.6249999791616574e-06,1.983000402105972e-06
61,2.484999640728347e-06,2.153999957954511e-06
62,2.394999683019705e-06,2.3239990696310997e-06
63,2.5049994292203337e-06,2.2940002963878214e-06
64,5.400999725679867e-06,2.094000592478551e-06
65,3.646999175543897e-06,2.5440003810217604e-06
66,2.3839984351070598e-06,2.2849999368190765e-06
67,3.385999661986716e-06,2.153999957954511e-06
68,7.01300086802803e-06,2.294998921570368e-06
69,6.902999302837998e-06,2.234999556094408e-06
70,3.6270012060413137e-06,2.273998688906431e-06
71,3.5960001696366817e-06,2.32499951380305e-06
72,2.484999640728347e-06,2.6149991754209623e-06
73,2.4339988158317283e-06,2.3539996618637815e-06
74,3.5570010368246585e-06,2.2639997041551396e-06
75,2.515000232961029e-06,2.314000084879808e-06
76,3.897999704349786e-06,2.2140011424198747e-06
77,3.806999302469194e-06,3.076000211876817e-06
78,2.835000486811623e-06,2.4649998522363603e-06
79,5.800999133498408e-06,2.454999048495665e-06
80,2.34500112128444e-06,2.564000169513747e-06
81,2.494000000297092e-06,2.544999006204307e-06
82,2.1639989427058026e-06,2.5149984139716253e-06
83,2.294998921570368e-06,2.434000634821132e-06
84,2.164999386877753e-06,2.40400004258845e-06
85,4.7789999371161684e-06,2.5649987946962938e-06
86,8.23499976831954e-06,2.414999471511692e-06
87,2.675000359886326e-06,2.4239998310804367e-06
88,2.394999683019705e-06,2.5949993869289756e-06
89,4.798999725608155e-06,2.5139997887890786e-06
90,2.7650003175949678e-06,2.5049994292203337e-06
91,3.56700002157595e-06,2.5550016289344057e-06
92,7.224000000860542e-06,2.6650013751350343e-06
93,2.685001163627021e-06,3.236998963984661e-06
94,3.577000825316645e-06,2.525001036701724e-06
95,2.574999598436989e-06,2.7250007406109944e-06
96,2.4839991965563968e-06,2.734999725362286e-06
97,2.3240008886205032e-06,2.514001607778482e-06
98,5.1200004236306995e-06,2.554999809945002e-06
99,2.554999809945002e-06,2.585000402177684e-06
100,3.4670010791160166e-06,2.7050009521190077e-06
101,3.836999894701876e-06,2.7749993023462594e-06
102,8.74599936651066e-06,2.766000761766918e-06
103,2.5149984139716253e-06,2.7649984986055642e-06
104,2.454999048495665e-06,2.984999809996225e-06
105,3.6470009945333004e-06,2.6650013751350343e-06
106,2.5350000214530155e-06,2.8459999157348648e-06
107,4.86899989482481e-06,2.8550002753036097e-06
108,2.5949993869289756e-06,2.8160011424915865e-06
109,2.40400004258845e-06,3.1059989851200953e-06
110,6.281001333263703e-06,2.9259990697028115e-06
111,4.559000444714911e-06,3.0159990274114534e-06
112,2.644999767653644e-06,3.086001015617512e-06
113,3.897001079167239e-06,3.0249993869801983e-06
114,3.8880007195984945e-06,3.135999577352777e-06
115,3.757000740733929e-06,3.1759991543367505e-06
116,2.5039989850483835e-06,2.956001480924897e-06
117,2.6950001483783126e-06,2.905999281210825e-06
118,2.91600008495152e-06,3.1350009521702304e-06
119,2.484999640728347e-06,3.176000973326154e-06
120,3.7579993659164757e-06,2.905999281210825e-06
121,3.746999936993234e-06,2.9060011002002284e-06
122,3.7370009522419423e-06,2.9450002330122516e-06
123,6.052001481293701e-06,3.0960000003688037e-06
124,4.388000888866372e-06,3.006000042660162e-06
125,4.228000761941075e-06,3.076000211876817e-06
126,2.954999217763543e-06,2.925000444520265e-06
127,2.794999090838246e-06,3.125998773612082e-06
128,7.624999852851033e-06,3.0450009944615886e-06
129,2.9359998734435067e-06,3.486000423436053e-06
130,2.5350000214530155e-06,3.2160005503101274e-06
131,2.414999471511692e-06,3.376999302417971e-06
132,3.656999979284592e-06,3.336999725433998e-06
133,3.6870005715172738e-06,3.496999852359295e-06
134,2.444001438561827e-06,3.3060005080187693e-06
135,2.6249999791616574e-06,3.6069995985599235e-06
136,2.264001523144543e-06,3.4270015021320432e-06
137,2.5350000214530155e-06,3.225999535061419e-06
138,2.544999006204307e-06,3.466999260126613e-06
139,2.3150005290517583e-06,3.2659991120453924e-06
140,2.1939995349384844e-06,3.366001692484133e-06
141,2.3649990907870233e-06,3.5169996408512816e-06
142,2.3239990696310997e-06,3.336001100251451e-06
143,2.5740009732544422e-06,3.4269996831426397e-06
144,2.40400004258845e-06,3.3359992812620476e-06
145,5.249999958323315e-06,3.3160013117594644e-06
146,5.059000613982789e-06,3.4660006349440664e-06
147,2.6849993446376175e-06,3.727000148501247e-06
148,2.3840002540964633e-06,3.5360008041607216e-06
149,2.3240008886205032e-06,3.746999936993234e-06
150,2.4450000637443736e-06,3.5869998100679368e-06
151,2.3439988581230864e-06,3.556999217835255e-06
152,3.5260000004200265e-06,3.545999788912013e-06
153,2.4540004233131185e-06,3.6370001907926053e-06
154,3.356000888743438e-06,3.727000148501247e-06
155,3.907998689101078e-06,3.767001544474624e-06
156,2.8359991119941697e-06,3.517001459840685e-06
157,3.887000275426544e-06,3.5270004445919767e-06
158,2.414000846329145e-06,3.716999344760552e-06
159,3.445999027462676e-06,3.62699938705191e-06
160,3.556999217835255e-06,3.9570004446431994e-06
161,2.574999598436989e-06,3.9670012483838946e-06
162,3.6969995562685654e-06,3.6669989640358835e-06
