N,indexer,degree,peak_memory_mb
2000,brute,0,0.5727481842041016
2000,bplus,20,0.6522846221923828
2000,bplus,40,0.6282062530517578
2000,bplus,80,0.6161813735961914
2000,bplus,160,0.6087512969970703
2000,bplus,320,0.5898227691650391
2000,bplus,640,0.6043186187744141
4000,brute,0,1.254373550415039
4000,bplus,20,1.3090839385986328
4000,bplus,40,1.2416019439697266
4000,bplus,80,1.2316303253173828
4000,bplus,160,1.202249526977539
4000,bplus,320,1.212350845336914
4000,bplus,640,1.196786880493164
6000,brute,0,1.965768814086914
6000,bplus,20,1.9695911407470703
6000,bplus,40,1.890390396118164
6000,bplus,80,1.8508167266845703
6000,bplus,160,1.8136615753173828
6000,bplus,320,1.8216419219970703
6000,bplus,640,1.817239761352539
8000,brute,0,2.658273696899414
8000,bplus,20,2.630250930786133
8000,bplus,40,2.515817642211914
8000,bplus,80,2.4693546295166016
8000,bplus,160,2.4389591217041016
8000,bplus,320,2.4291553497314453
8000,bplus,640,2.405038833618164
10000,brute,0,3.354412078857422
10000,bplus,20,3.2911415100097656
10000,bplus,40,3.149707794189453
10000,bplus,80,3.0883750915527344
10000,bplus,160,3.0514183044433594
10000,bplus,320,3.0352516174316406
10000,bplus,640,3.032459259033203
