N,indexer,insert_total_s,search_hit_avg_s,search_miss_avg_s,update_avg_s,delete_avg_s,range_query_avg_s
100,bplus,0.0006808999896747991,1.4800010831095278e-05,1.0500007192604244e-05,3.0099996365606785e-05,3.8700003642588854e-05,4.5000051613897085e-06
100,brute,0.0004366999928606674,3.0800001695752144e-05,3.840000135824084e-05,7.509998977184296e-05,3.890000516548753e-05,7.999988156370819e-06
200,bplus,0.001426500006346032,2.990000939462334e-05,2.1599989850074053e-05,6.249999569263309e-05,5.6899996707215905e-05,5.49999822396785e-06
200,brute,0.001258899996173568,0.00010229999315924942,0.00014990000636316836,0.00021330000890884548,0.00011100000119768083,1.4599994756281376e-05
400,bplus,0.0024865000013960525,6.409999332390726e-05,4.9700000090524554e-05,0.00013919999764766544,0.00013130001025274396,7.399998139590025e-06
400,brute,0.004765800011227839,0.0004958999925293028,0.000595899997279048,0.0009553999989293516,0.0005031000036979094,3.270000161137432e-05
800,bplus,0.005964800002402626,0.00013920001219958067,0.00010479999764356762,0.0002823999966494739,0.00025939999613910913,1.1600001016631722e-05
800,brute,0.016235699993558228,0.0014873000036459416,0.0023962999985087663,0.003755699988687411,0.0022083000076236203,6.170000415295362e-05
1600,bplus,0.013836099999025464,0.00030750001315027475,0.00023119999968912452,0.0006463000026997179,0.000568500006920658,2.059999678749591e-05
1600,brute,0.06344790000002831,0.005749699994339608,0.010385100002167746,0.015855999998166226,0.008446100007859059,0.00012969999806955457
3200,bplus,0.029799600000842474,0.0008965000015450642,0.0005374000029405579,0.0015930999943520874,0.0017771999991964549,5.9300000430084765e-05
3200,brute,0.2451701999962097,0.02352950000204146,0.045437199994921684,0.0638154000043869,0.036475799992331304,0.00022569998691324145
6400,bplus,0.06646550000004936,0.00194240000564605,0.0010012000129790977,0.003743099994608201,0.0037963999930070713,0.00015359999088104814
6400,brute,1.2128513999923598,0.11561979999532923,0.21001689998956863,0.2768571000051452,0.16557430000102613,0.000592500000493601
12800,bplus,0.20024020000710152,0.005644999997457489,0.0024483000015607104,0.010042699999758042,0.008079399995040148,0.00038139999378472567
12800,brute,5.878823300008662,0.708567599998787,1.520895900001051,1.3423895000014454,0.865382200005115,0.0014956000086385757
25600,bplus,0.4228307000012137,0.011870099988300353,0.005128100005094893,0.021710500004701316,0.01774390001082793,0.0006868999917060137
25600,brute,27.204872499991325,2.7062927999941166,6.520826799998758,8.016585000004852,4.135906100011198,0.0051168000063626096
32000,bplus,0.5469622999953572,0.018737899998086505,0.010479800010216422,0.02897349999693688,0.023615500002051704,0.0010212000051978976
32000,brute,45.59844869999506,3.8857091999961995,7.800161199993454,14.06249920000846,7.1168717999971705,0.005489000002853572
