Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BOOTSTRAP POST /auth/login,120,0,250,254.2510283329951,243.99059999268502,317.0021999976598,208.91666666666666,1.000178110528085,0.0,250,250,250,260,270,280,310,310,320,320,320
POST,BOOTSTRAP POST /auth/register,120,0,11,108.4887100000439,7.963799987919629,11548.275000008289,36.0,1.000178110528085,0.0,11,13,14,15,18,27,30,31,12000,12000,12000
POST,FAILURE POST /testing/chaos/enable accept,43,0,9,228.91278837152302,7.729100005235523,9365.627399994992,51.72093023255814,0.35839715627256374,0.0,9,10,12,12,18,21,9400,9400,9400,9400,9400
POST,FAILURE POST /testing/chaos/enable end,14,0,9,11.56130715389736,8.212000015191734,26.051399996504188,59.357142857142854,0.11668744622827658,0.0,10,12,13,14,17,26,26,26,26,26,26
POST,FAILURE POST /testing/chaos/reset,1,0,10.470900044310838,10.470900044310838,10.470900044310838,10.470900044310838,18.0,0.008334817587734042,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /admin/rides/open,20,0,45,593.9499849948334,40.28300003847107,10829.057800001465,225559.9,0.1666963517546808,0.0,46,54,68,89,110,11000,11000,11000,11000,11000,11000
GET,GET /admin/rides/stats,34,0,24,25.693558827590415,20.39600000716746,39.0194000210613,347.5882352941176,0.2833837979829574,0.0,24,26,27,30,32,35,39,39,39,39,39
GET,GET /health,2072,0,4,166.96392355220883,2.6368999970145524,11482.395300001372,15.0,17.269742041784934,0.0,4,5,5,6,7,10,32,10000,11000,11000,11000
GET,RACE GET /rides/{ride_id},17,0,8,13.62332353464273,6.716799980495125,67.66180001432076,236.0,0.1416918989914787,0.0,8,9,11,13,32,68,68,68,68,68,68
GET,RACE GET /rides/{ride_id}/bookings/pending,32,0,18,360.8242656227958,12.847499980125576,10979.180599970277,16628.28125,0.26671416280748933,0.0,18,19,20,21,23,38,11000,11000,11000,11000,11000
POST,RACE POST /rides,1,0,15036.408399988431,15036.408399988431,15036.408399988431,15036.408399988431,236.0,0.008334817587734042,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
POST,RACE POST /rides/bookings/{booking_id}/accept,26,26,16,18.244638463679273,12.408100010361522,44.351099990308285,60.0,0.21670525728108506,0.21670525728108506,16,18,19,21,24,29,44,44,44,44,44
POST,RACE POST /rides/bookings/{booking_id}/reject,6,0,16,18.411949994818617,15.4888000106439,21.157899987883866,253.5,0.050008905526404246,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,RACE POST /rides/{ride_id}/book,74,0,15021.159500000067,15035.800790543215,15021.159500000067,15066.640400036704,252.63513513513513,0.616776501492319,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,2580,26,5,601.6645931009999,2.6368999970145524,15066.640400036704,1994.0651162790698,21.503829376353824,0.21670525728108506,5,6,8,10,41,260,15000,15000,15000,15000,15000
