Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775351852,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775351853,30,,Aggregated,0.000000,0.000000,15,30,250,250,350,350,350,350,350,350,350,17,0,15,99.70992553195067,3.6050720082130283,351.0470439941855,110.94117647058823
1775351854,60,,Aggregated,0.000000,0.000000,12,30,240,240,330,350,350,350,350,350,350,29,0,12,93.17526907172326,3.6050720082130283,351.0470439941855,100.75862068965517
1775351855,90,,Aggregated,14.000000,0.000000,8,24,240,240,250,330,350,350,350,350,350,45,0,8,83.84149780225319,2.174933993956074,351.0470439941855,101.75555555555556
1775351856,120,,Aggregated,13.000000,0.000000,10,26,240,240,250,260,350,350,350,350,350,63,0,10,79.66772833467638,2.174933993956074,351.0470439941855,3764.15873015873
1775351857,120,,Aggregated,14.000000,0.000000,10,24,240,240,260,260,350,350,350,350,350,79,1,10,74.92815867185008,2.110112996888347,351.0470439941855,3046.4556962025317
1775351858,120,,Aggregated,13.500000,0.000000,10,23,68,240,260,260,350,350,350,350,350,99,6,10,71.66607093978484,1.9056540040764958,351.0470439941855,4785.80808080808
1775351859,120,,Aggregated,15.000000,0.000000,10,21,42,240,250,260,330,350,350,350,350,117,10,10,69.8390664106422,1.9056540040764958,351.0470439941855,4060.076923076923
1775351860,120,,Aggregated,15.333333,0.666667,10,21,29,240,250,260,330,350,350,350,350,144,11,10,66.2529625067489,1.9056540040764958,351.0470439941855,3329.0625
1775351861,120,,Aggregated,16.000000,1.285714,10,22,31,240,250,260,290,350,350,350,350,163,11,10,64.97177323901403,1.9056540040764958,351.0470439941855,4366.539877300614
1775351862,120,,Aggregated,16.625000,1.375000,9,19,26,240,250,260,290,350,350,350,350,190,11,9,61.98623401540221,1.9056540040764958,351.0470439941855,3757.6052631578946
1775351863,120,,Aggregated,17.777778,1.222222,9,18,26,240,250,260,280,330,350,350,350,211,13,9,61.19461454015492,1.9056540040764958,351.0470439941855,3415.4170616113743
1775351864,120,,Aggregated,18.200000,1.100000,9,16,25,240,250,260,280,330,350,350,350,234,17,9,59.79733345710471,1.9056540040764958,351.0470439941855,3085.3076923076924
1775351865,120,,Aggregated,19.200000,1.200000,9,15,25,240,250,260,270,330,350,350,350,255,22,9,59.24166760774895,1.9056540040764958,351.0470439941855,2854.521568627451
1775351866,120,,Aggregated,20.200000,1.600000,9,14,24,50,250,260,270,330,350,350,350,282,24,9,56.939459875680534,1.904067990835756,351.0470439941855,2589.574468085106
1775351867,120,,Aggregated,20.800000,2.000000,9,18,24,31,250,260,280,300,350,350,350,320,24,9,55.31040679670696,1.904067990835756,351.0470439941855,2301.44375
1775351868,120,,Aggregated,21.700000,2.400000,10,18,24,32,250,260,290,330,370,370,370,349,24,10,54.579916701645104,1.904067990835756,365.2670480078086,2123.0974212034384
1775351869,120,,Aggregated,23.200000,2.400000,9,18,24,30,250,260,290,350,440,440,440,374,24,9,53.91264514694735,1.904067990835756,435.15314400428906,1985.8128342245989
1775351870,120,,Aggregated,25.100000,2.000000,9,18,24,30,250,260,290,350,440,440,440,397,24,9,53.66453816620129,1.904067990835756,435.15314400428906,2454.347607052897
1775351871,120,,Aggregated,25.300000,1.500000,9,17,23,30,250,260,290,330,440,440,440,423,24,9,52.65712778483177,1.7818459891714156,435.15314400428906,2331.193853427896
1775351872,120,,Aggregated,25.500000,1.300000,9,18,23,27,250,260,290,350,460,460,460,464,25,9,51.15647762707748,1.7818459891714156,457.9326379898703,2137.6616379310344
1775351873,120,,Aggregated,25.400000,1.300000,9,18,23,26,250,260,290,330,460,460,460,508,25,9,49.45041294495885,1.7818459891714156,457.9326379898703,1963.523622047244
1775351874,120,,Aggregated,26.500000,1.400000,9,18,23,26,250,270,290,330,460,460,460,542,25,9,48.92712700932684,1.7818459891714156,457.9326379898703,2272.5276752767527
1775351875,120,,Aggregated,29.300000,1.300000,9,17,21,26,250,270,290,330,460,460,460,577,28,9,48.170092208266574,1.6717219987185672,457.9326379898703,2161.5979202772965
1775351876,120,,Aggregated,30.500000,0.900000,9,17,21,25,250,270,290,310,460,460,460,601,31,9,47.71988376559664,1.6717219987185672,457.9326379898703,2077.6422628951746
1775351877,120,,Aggregated,30.900000,0.600000,8,16,21,25,250,270,290,310,460,460,460,627,33,8,47.559114028904865,1.6717219987185672,457.9326379898703,1993.5677830940988
1775351878,120,,Aggregated,32.200000,0.600000,8,16,21,25,250,270,290,310,460,460,460,658,34,8,47.05357416883241,1.6717219987185672,457.9326379898703,1921.7158054711247
1775351879,120,,Aggregated,31.200000,0.900000,7,15,20,24,250,260,290,310,460,460,460,693,34,7,46.33141940273647,1.6717219987185672,457.9326379898703,1827.141414141414
1775351880,120,,Aggregated,30.700000,1.000000,7,12,20,24,250,260,280,300,460,460,460,721,36,7,45.7616242760834,1.6717219987185672,457.9326379898703,1775.871012482663
1775351881,120,,Aggregated,31.600000,1.000000,7,11,19,24,250,260,280,300,460,460,460,758,40,7,45.261697060804686,1.6717219987185672,457.9326379898703,1994.8997361477573
1775351882,120,,Aggregated,32.400000,1.100000,6,11,19,24,250,260,290,310,460,460,460,786,44,6,44.9460090357815,1.6717219987185672,457.9326379898703,1941.3091603053435
1775351883,120,,Aggregated,33.400000,1.500000,6,11,19,23,250,260,280,300,460,460,460,820,48,6,44.539638730628475,1.6717219987185672,457.9326379898703,1863.0268292682927
1775351884,120,,Aggregated,32.600000,1.700000,6,10,18,23,250,260,280,300,460,460,460,856,52,6,44.01136666605895,1.6717219987185672,457.9326379898703,1786.4369158878505
1775351885,120,,Aggregated,31.000000,2.200000,6,11,19,23,250,260,280,300,460,460,460,905,54,6,42.925699502927536,1.6636930085951462,457.9326379898703,1697.443093922652
1775351886,120,,Aggregated,30.900000,2.500000,6,12,19,23,250,260,280,300,460,460,460,963,54,6,41.12966439680913,1.6636930085951462,457.9326379898703,1604.5379023883697
1775351887,120,,Aggregated,32.400000,2.800000,6,12,19,23,250,260,280,300,460,460,460,999,54,6,39.9891356827756,1.6636930085951462,457.9326379898703,1551.177177177177
1775351888,120,,Aggregated,34.300000,2.400000,6,12,18,21,250,260,280,290,440,460,460,1031,54,6,38.9221561979621,1.6636930085951462,457.9326379898703,1524.7914645974781
1775351889,120,,Aggregated,36.900000,2.100000,6,11,18,21,250,260,280,290,440,460,460,1053,54,6,38.17142968102299,1.6636930085951462,457.9326379898703,1493.5660018993353
1775351890,120,,Aggregated,36.900000,2.000000,5,11,18,21,250,260,280,290,440,460,460,1076,54,5,37.415310209231315,1.6636930085951462,457.9326379898703,1461.9609665427508
1775351891,120,,Aggregated,36.300000,2.000000,5,10,18,20,240,260,280,290,440,460,460,1096,54,5,36.77835325561982,1.6636930085951462,457.9326379898703,1435.7591240875913
1775351892,120,,Aggregated,35.200000,1.900000,5,10,18,20,240,260,280,290,440,460,460,1118,54,5,36.135132690672016,1.6636930085951462,457.9326379898703,1613.9552772808586
1775351893,120,,Aggregated,34.200000,1.500000,4,10,18,20,240,260,280,290,440,460,460,1140,54,4,35.51088770452719,1.6636930085951462,457.9326379898703,1601.0684210526315
1775351894,120,,Aggregated,33.600000,1.200000,4,10,18,20,240,260,280,290,440,460,460,1158,54,4,34.995527554531414,1.6636930085951462,457.9326379898703,1576.4145077720207
1775351895,120,,Aggregated,32.200000,0.700000,4,9,17,19,240,260,280,290,440,460,460,1188,55,4,34.19986989993723,1.6636930085951462,457.9326379898703,1554.0984848484848
1775351896,120,,Aggregated,31.000000,0.400000,4,9,17,19,74,260,270,290,440,460,460,1208,56,4,33.683373291504246,1.6636930085951462,457.9326379898703,1545.1688741721855
1775351897,120,,Aggregated,29.700000,0.100000,4,9,16,19,51,260,270,290,440,460,460,1232,56,4,33.08602755854051,1.6636930085951462,457.9326379898703,1515.6331168831168
1775351898,120,,Aggregated,26.200000,0.200000,4,9,16,19,48,260,270,290,440,460,460,1255,56,4,32.55668393154424,1.6636930085951462,457.9326379898703,1488.7529880478087
1775351899,120,,Aggregated,23.700000,0.200000,4,9,17,19,46,260,270,290,440,460,460,1311,56,4,32.10890847982203,1.6636930085951462,457.9326379898703,1431.995423340961
1775351900,120,,Aggregated,22.800000,0.200000,4,10,18,20,82,260,270,290,440,460,460,1369,56,4,32.77004740691471,1.6636930085951462,457.9326379898703,1378.0701241782324
1775351901,120,,Aggregated,24.500000,0.200000,4,10,18,20,69,260,270,290,440,460,460,1399,56,4,32.23904331458,1.6636930085951462,457.9326379898703,1529.456754824875
1775351902,120,,Aggregated,29.200000,0.200000,4,10,18,20,55,260,270,290,440,460,460,1422,57,4,31.793381147040446,1.6636930085951462,457.9326379898703,1681.113924050633
1775351903,120,,Aggregated,29.100000,0.200000,4,10,18,20,51,260,270,290,440,460,460,1444,57,4,31.345431944664547,1.6636930085951462,457.9326379898703,1655.7299168975069
