Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BOOTSTRAP POST /auth/login,199,0,260,1025.865217584803,241.6670999955386,61528.96319999127,209.25125628140702,0.7782623813069592,0.0,260,270,280,290,420,1800,3100,44000,62000,62000,62000
POST,BOOTSTRAP POST /auth/register,199,0,19,229.31582613084137,8.115099975839257,11325.176400016062,36.0,0.7782623813069592,0.0,19,25,34,56,300,830,2300,8700,11000,11000,11000
GET,GET /admin/rides/open,18,0,160,2761.684283336055,30.053300026338547,37973.858000012115,172524.27777777778,0.07039559227902144,0.0,350,650,1300,2400,2500,38000,38000,38000,38000,38000,38000
GET,GET /admin/rides/stats,27,2,53,4682.4907370437695,19.337299978360534,67554.29950001417,321.8888888888889,0.10559338841853216,0.007821732475446827,53,780,1900,3000,4700,38000,68000,68000,68000,68000,68000
GET,GET /rides,2165,110,47,6358.181840878146,7.945499964989722,69775.88510001078,8435.297459584295,8.46702540467119,0.4301952861495755,47,390,1200,1900,37000,43000,67000,70000,70000,70000,70000
GET,GET /rides/my/bookings,483,25,50,6799.528035403453,8.491599990520626,70008.83619999513,1070.3809523809523,1.8889483928204087,0.09777165594308533,50,610,1800,2600,38000,44000,68000,70000,70000,70000,70000
GET,GET /rides/{ride_id},371,10,30,4509.193469003512,6.410999980289489,69729.24380004406,230.97843665768195,1.4509313741953864,0.039108662377234135,30,110,620,1100,6100,38000,69000,70000,70000,70000,70000
GET,GET /rides/{ride_id}/bookings/pending,229,0,35,982.0739558941632,9.651799977291375,61543.60129998531,2.0,0.8955883684386617,0.0,35,76,180,280,900,1900,3200,44000,62000,62000,62000
POST,POST /rides,252,13,39000,37508.81597341019,581.9441999774426,118612.27330000838,225.33333333333334,0.9855382919063002,0.05084126109040438,39000,46000,49000,54000,74000,78000,115000,118000,119000,119000,119000
POST,POST /rides/{ride_id}/book,85,10,15000,15473.192895294907,9.632200002670288,48061.619899992365,226.08235294117648,0.33242363020649013,0.039108662377234135,15000,16000,16000,17000,18000,21000,48000,48000,48000,48000,48000
POST,POST /rides/{ride_id}/end,10,0,43,97.68618000089191,20.456800004467368,322.7361999452114,241.4,0.039108662377234135,0.0,70,89,150,190,320,320,320,320,320,320,320
POST,POST /rides/{ride_id}/start,38,0,33,2094.8876894713308,14.5702000008896,69708.28770002117,239.57894736842104,0.14861291703348972,0.0,36,120,150,180,910,3400,70000,70000,70000,70000,70000
,Aggregated,4076,170,73,7414.471454759598,6.410999980289489,118612.27330000838,5425.9116781158,15.940690784960633,0.6648472604129803,73,520,1600,3100,38000,45000,70000,71000,118000,119000,119000
