Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BOOTSTRAP POST /auth/login,120,0,360,408.2764655824576,295.52696899918374,1307.838651991915,208.98333333333332,1.00709293761414,0.0,360,390,440,470,530,720,860,900,1300,1300,1300
POST,BOOTSTRAP POST /auth/register,120,0,10,16.369182658187736,5.670280996127985,477.9732890019659,36.0,1.00709293761414,0.0,10,12,13,14,17,33,55,130,480,480,480
GET,GET /admin/rides/open,22,0,45,60.505465043454684,29.00534198852256,232.17790099442936,205252.95454545456,0.184633705229259,0.0,54,63,64,74,86,95,230,230,230,230,230
GET,GET /admin/rides/stats,39,0,21,44.493870744377205,12.4058109940961,766.4199829887366,348.97435897435895,0.3273052047245955,0.0,21,30,33,35,45,77,770,770,770,770,770
GET,GET /health,2143,0,3,6.404009664494121,1.3606479915324599,401.9142150063999,15.0,17.985001377559183,0.0,3,3,4,4,6,11,26,52,370,400,400
GET,RACE GET /rides/{ride_id},55,0,6,7.408517982482656,3.697274994920008,28.1367580028018,236.0,0.4615842630731475,0.0,6,7,9,10,12,15,17,28,28,28,28
GET,RACE GET /rides/{ride_id}/bookings/pending,14,0,11,14.032476357117828,7.368499995209277,31.462765007745475,14504.714285714286,0.117494176054983,0.0,14,16,16,18,18,31,31,31,31,31,31
POST,RACE POST /rides,9,0,24,32.442428333322624,17.62626599520445,68.96099000005051,236.0,0.0755319703210605,0.0,24,35,42,44,69,69,69,69,69,69,69
POST,RACE POST /rides/bookings/{booking_id}/accept,8,0,24,26.231061872749706,15.329675006796606,47.42991700186394,255.0,0.067139529174276,0.0,27,29,30,30,47,47,47,47,47,47,47
POST,RACE POST /rides/bookings/{booking_id}/reject,4,0,10.162108010263182,14.0839075029362,10.162108010263182,21.985772997140884,254.25,0.033569764587138,0.0,14,14,22,22,22,22,22,22,22,22,22
POST,RACE POST /rides/{ride_id}/book,597,84,20,65.27540403542264,5.554974006372504,1011.0987270018086,223.08040201005025,5.010287364630346,0.704965056329898,20,26,32,37,76,360,850,950,1000,1000,1000
,Aggregated,3131,84,4,34.4551763133351,1.3606479915324599,1307.838651991915,1579.4072181411689,26.27673323058227,0.704965056329898,4,8,15,18,36,300,430,670,970,1300,1300
